Sample	type	Reference_name	Reference_fasta	Reference_gbk	batch	barcode	hac_reads	hac_contigs	sup_reads	sup_contigs Annot_db
PH12_SPA44	phage	PH12	/node8_R10/vasarhelyib/MinION_results/References/PH12.fna	/node8_R10/vasarhelyib/MinION_results/References/PH12.snippy_compatible.gbk	KBAGDK_20260129	barcode47	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_47.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_47.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_47.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_47.fna
PH12_SPA70	phage	PH12	/node8_R10/vasarhelyib/MinION_results/References/PH12.fna	/node8_R10/vasarhelyib/MinION_results/References/PH12.snippy_compatible.gbk	KBAGDK_20260129	barcode42	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_42.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_42.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_42.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_42.fna
PH18_SPA15	phage	PH18	/node8_R10/vasarhelyib/MinION_results/References/PH18.fna	/node8_R10/vasarhelyib/MinION_results/References/PH18.snippy_compatible.gbk	KBAGDK_20260129	barcode45	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_45.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_45.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_45.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_45.fna
PH18_SPA46	phage	PH18	/node8_R10/vasarhelyib/MinION_results/References/PH18.fna	/node8_R10/vasarhelyib/MinION_results/References/PH18.snippy_compatible.gbk	KBAGDK_20260129	barcode44	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_44.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_44.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_44.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_44.fna
PH4_SPA23	phage	PH4	/node8_R10/vasarhelyib/MinION_results/References/PH4.fna	/node8_R10/vasarhelyib/MinION_results/References/PH4.snippy_compatible.gbk	KBAGDK_20260129	barcode46	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_46.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_46.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_46.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_46.fna
PH4_SPA29	phage	PH4	/node8_R10/vasarhelyib/MinION_results/References/PH4.fna	/node8_R10/vasarhelyib/MinION_results/References/PH4.snippy_compatible.gbkk	KBAGDK_20260129	barcode48	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_48.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_48.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_48.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_48.fna
PH12_SPA69	phage	PH12	/node8_R10/vasarhelyib/MinION_results/References/PH12.fna	/node8_R10/vasarhelyib/MinION_results/References/PH12.snippy_compatible.gbk	KBAGDK_20260129	barcode49	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_49.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_49.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_49.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_49.fna
SPA10_E2	bacterial	SPA10	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA10.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA10.gbk	KBAGDK_20260129	barcode23	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_23.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_23.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_23.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_23.fna
SPA11_E3	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode21	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_21.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_21.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_21.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_21.fna
SPA11_PH12_1	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode36	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_36.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_36.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_36.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_36.fna
SPA11_PH12_2	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode27	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_27.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_27.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_27.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_27.fna
SPA12_PH12_1	bacterial	SPA12	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA12.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA12.gbk	KBAGDK_20260129	barcode37	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_37.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_37.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_37.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_37.fna
SPA11_PH12_3	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode43	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_43.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_43.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_43.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_43.fna
SPA13_PH12_1	bacterial	SPA13	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA13.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA13.gbk	KBAGDK_20260129	barcode38	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_38.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_38.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_38.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_38.fna
SPA11_PH4_1	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode29	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_29.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_29.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_29.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_29.fna
SPA11_PH4_2	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode30	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_30.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_30.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_30.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_30.fna
SPA11_PH18_1	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode31	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_31.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_31.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_31.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_31.fna
SPA11_PH18_2	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode32	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_32.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_32.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_32.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_32.fna
SPA11_PH18_3	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode33	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_33.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_33.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_33.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_33.fna
SPA22_E2	bacterial	SPA22	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA22.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA22.gbk	KBAGDK_20260129	barcode26	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_26.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_26.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_26.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_26.fna
SPA26_PH12	bacterial	SPA26	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA26.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA26.gbk	KBAGDK_20260129	barcode34	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_34.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_34.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_34.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_34.fna
SPA23_PH18	bacterial	SPA23	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA23.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA23.gbk	KBAGDK_20260129	barcode39	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_39.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_39.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_39.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_39.fna
SPA33_E2	bacterial	SPA33	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA33.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA33.gbk	KBAGDK_20260129	barcode35	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_35.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_35.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_35.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_35.fna
SPA33_E3	bacterial	SPA33	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA33.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA33.gbk	KBAGDK_20260129	barcode25	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_25.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_25.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_25.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_25.fna
SPA39_PH12	bacterial	SPA39	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/GCF_000360125.1.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA39.gbk	KBAGDK_20260129	barcode22	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_22.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_22.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_22.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_22.fna
SPA39_PH18	bacterial	SPA39	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/GCF_000360125.1.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA39.gbk	KBAGDK_20260129	barcode18	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_18.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_18.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_18.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_18.fna
SPA39_PH4	bacterial	SPA39	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/GCF_000360125.1.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA39.gbk	KBAGDK_20260129	barcode14	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_14.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_14.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_14.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_14.fna
SPA60_PH4	bacterial	SPA60	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/GCF_000009645.1.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA60.gbk	KBAGDK_20260129	barcode13	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_13.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_13.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_13.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_13.fna
SPA75_PH12	bacterial	SPA75	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/GCF_000262995.1.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA75.gbk	KBAGDK_20260129	barcode10	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_10.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_10.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_10.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_10.fna
SPA75_PH4	bacterial	SPA75	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/GCF_000262995.1.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA75.gbk	KBAGDK_20260129	barcode15	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_15.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_15.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_15.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_15.fna
SPA79_PH18	bacterial	SPA79	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/GCF_000187165.1.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA79.gbk	KBAGDK_20260129	barcode16	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_16.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_16.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_16.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_16.fna
SPA79_PH4	bacterial	SPA79	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/GCF_000187165.1.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA79.gbk	KBAGDK_20260129	barcode12	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_12.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_12.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_12.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_12.fna
SPA23_PH12	bacterial	SPA23	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA23.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA23.gbk	KBAGDK_20260129	barcode11	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_11.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_11.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_11.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_11.fna
SPA9_res	bacterial	SPA9	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA9.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA9.gbk	KBAGDK_20260129	barcode28	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_28.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_28.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_28.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_28.fna
K103-1	bacterial	K103	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K103.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K103.gbk	SHM_20260217	barcode08	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_08.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_08.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_08.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_08.fastq.gz
K104-8	bacterial	K104	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K104.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K104.gbk	SHM_20260217	barcode03	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_03.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_03.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_03.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_03.fastq.gz
K11-7	bacterial	K11	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K11.gbk	SHM_20260217	barcode02	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_02.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_02.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_02.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_02.fastq.gz
K124-1	bacterial	K124	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K124.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K124.gbk	SHM_20260217	barcode07	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_07.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_07.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_07.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_07.fastq.gz
K124-2	bacterial	K124	/node10_R10/vasarhelyib/Klebsiella_pneumoniae/Genomes/K124.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/K124.gbk	SHM_20260217	barcode10	/node10_R10/MinION_NFS/SHM_20260217/basecalled_hac/SHM_20260217_10.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_hac/SHM_20260217_10.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/basecalled_sup/SHM_20260217_10.fastq.gz	/node10_R10/MinION_NFS/SHM_20260217/consensus_sup/SHM_20260217_10.fastq.gz
